Type,#,Usage(%),Velocity(km/h),Spin Rate(rpm),hmov(cm),vmov(cm),Zone%,SwStr%,CalledStr%,Swing%,Contact%,GB%,Hard%,wOBA
4-Seam Fastball,39,48.8,151,2154.8,-6.7,36.7,51.3,2.6,23.1,30.8,91.7,33.3,33.3,0.6
Slider,23,28.8,127.3,2385,37,12.2,34.8,8.7,17.4,26.1,66.7,NA,0,0.7
Split-Finger,13,16.2,138.1,1631.4,-7,4.3,7.7,0,0,53.8,85.7,50,0,0.32
Curveball,5,6.2,115.7,2569.2,33.5,-33.3,40,0,40,0,NA,NA,NA,NA
