"Season_Half","pitches","Fastball_pct","Zone","CStr","Swing","Contact","foul_pct","exit_velo","launch_angle","Hard","BABIP","wOBA","xwOBA","flare","barrel","barrelperPA","shifted"
"1st",1213,50.29,44.5,13.4,48.2,67.2,51.1,93.2,16.1,64.1,0.303,0.444,0.427,17.9,25.7,15.3,69.1
"2nd",1381,48.23,42.4,15.2,43.7,66.9,54.7,93.3,16.6,56.2,0.307,0.369,0.383,22.8,19.2,10,92.9
